model,Default Fit Time,Default RMSE,CrossCV Fit Time,CrossCV RMSE,GridSearchCV Fit Time,GridSearchCV RMSE,GridSearchCV Best Params
KNNBasic,0.1154439449310302,0.7262389271085168,0.0758172035217285,0.9467837284774556,77.42693400382996,0.9537472635426192,"{'k': 20, 'sim_options': {'name': 'msd', 'user_based': True}}"
SVD,5.296315908432007,0.64118761303731,4.667572450637818,0.8750528736782393,205.63737511634827,0.8692325852497578,"{'n_factors': 2, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.04}"
CoClustering,1.4205589294433594,0.8263016437666547,1.4422016143798828,0.947971526819406,296.95802879333496,0.9543537754184542,"{'n_epochs': 150, 'n_cltr_u': 5}"
